Source1,Source2,Prediction,Target
smoke,fog,['sfog'],smog
snide,remark,['snidmark'],snark
sneeze,satiation,['sneezsatiation'],snatiation
sonus,sonny,['sonusonny'],sony
sound,landscape,soundscape,soundscape
spam,camelot,['spcamelot'],spamalot
spam,indexing,['spndexing'],spamdexing
spanish,english,['snglish'],spanglish
spectral,alert,spectralert,spectralert
spoon,knife,['spoonife'],spife
spam,forgery,['spforgery'],sporgery
spoon,fork,['sork'],spork
squirm,wiggle,['squwiggle'],squiggle
square,circle,['sqrcle'],squircle
stalker,paperazzi,stalkerazzi,stalkerazzi
star,architect,['staarchitect'],starchitect
stay,vacation,['staacation'],staycation
street,basketball,['streesketball'],streetball
stoned,drunk,['stonedrunk'],strunk
swahili,english,['snglish'],swahinglish
swap,opportunity,['swaopportunity'],swapportunity
swap,option,['swaoption'],swaption
swedish,english,['snglish'],swenglish
tagalog,english,['tnglish'],taglish
tangerine,pomelo,['tpomelo'],tangelo
tamil,english,['tnglish'],tanglish
tan,anorexia,tanorexia,tanorexia
tax,massachusetts,['taassachusetts'],taxachusetts
tehran,los_angeles,['tehraangeles'],tehrangeles
telecommunications,informatics,['telecommunicationnformatics'],telematics
television,evangelist,['televislist'],televangelist
thermal,resistor,['thermresistor'],thermistor
three,repeat,['that'],threepeat
tiger,lion,tigon,tigon
tofu,turkey,tofurkey,tofurkey
tomato,tobacco,['tomatobacco'],tomacco
two,loonie,['twonie'],toonie
transmitter,receiver,transceiver,transceiver
transfer,resistor,['transresistor'],transistor
transmitter,responder,transponder,transponder
travel,velocity,['tlocity'],travelocity
tree,heap,['treeap'],treap
triticum,secale,triticale,triticale
trooper,watergate,['trooatergate'],troopergate
twin,incest,['twiincest'],twincest
urine,analysis,['urnalysis'],urinalysis
veritas,horizon,['veritrizon'],verizon
vermont,monster,['vermonmonster'],vermonster
vietnamese,asian,['vietnamean'],vietnamasian
vitamin,isomer,['vitamiisomer'],vitamer
vital,amine,['viamine'],vitamin
video,blog,vlog,vlog
vomit,atrocious,['vomiatrocious'],vomitrocious
volume,pixel,['vpixel'],voxel
wallaby,kangaroo,['wakangaroo'],wallaroo
warui,luigi,waluigi,waluigi
warui,mario,wario,wario
web,broadcast,['webroadcast'],webcast
world_wide_web,seminar,['wseminar'],webinar
world_wide_web,episode,['worldpisode'],webisode
welsh,english,wenglish,wenglish
westlaw,lexisnexis,['westexisnexis'],wexis
whale,dolphin,['whdolphin'],wholphin
white,nigger,['whinigger'],wigger
wiki,reality,['wikity'],wikiality
wiki,encyclopedia,['wikpedia'],wikipedia
wikipedia,etiquette,['wikipedietiquette'],wikiquette
wiki,dictionary,['wictionary'],wiktionary
windows,intel,['windowintel'],wintel
wonka,elevator,['wonkator'],wonkavator
wooden,spoon,['woodespoon'],woon
work,alcoholic,['wolcoholic'],workaholic
yesterday,gay,['ygay'],yestergay
yiddish,english,['yiddnglish'],yinglish
yoga,pilates,['ypilates'],yogalates
youth,euthanasia,['yeuthanasia'],youthanasia
yugoslavia,mesopotamia,['yugoslavisopotamia'],yugopotamia
zeitgeist,ghost,['zeghost'],zeitghost
zebra,donkey,['zebonkey'],zonkey
zebra,pony,['zebpony'],zony
zebra,horse,['zebrhorse'],zorse
